salt,85746
butter,54975
sugar,44535
onion,39065
water,34914
eggs,33761
olive oil,32822
flour,26266
milk,25786
garlic cloves,25748
pepper,22319
garlic,18087
baking powder,17504
egg,17304
parmesan cheese,14807
lemon juice,14233
baking soda,14099
vegetable oil,13912
vanilla,13315
cinnamon,12560
tomato,11950
sour cream,11779
honey,9898
cream cheese,9827
celery,9541
cheddar cheese,8969
soy sauce,8856
mayonnaise,8736
paprika,7982
worcestershire sauce,7832
cornstarch,7486
carrots,7023
parsley,7001
chili powder,6984
bacon,6948
carrot,6707
nutmeg,6299
ground beef,5824
walnuts,5765
pecans,5752
dijon mustard,5599
heavy cream,5201
margarine,5077
mozzarella cheese,4980
orange juice,4702
zucchini,4591
raisins,4487
fresh ginger,4255
cumin,4233
oregano,4185
ketchup,3901
balsamic vinegar,3848
lime juice,3749
cilantro,3742
ground ginger,3655
ginger,3600
dried thyme,3533
vinegar,3395
bay leaf,3253
whipping cream,3158
dry white wine,3130
thyme,2980
curry powder,2959
lemon,2901
white wine,2890
dry mustard,2839
breadcrumbs,2773
bananas,2747
shortening,2744
basil,2727
mushrooms,2718
cheese,2712
salsa,2703
semi-sweet chocolate chips,2606
bay leaves,2537
black beans,2468
scallions,2425
nuts,2421
banana,2327
ground cloves,2321
half-and-half,2265
chocolate chips,2232
shallots,2197
pineapple, 0
tabasco sauce,2188
cucumber,2176
cream of mushroom soup,2138
sesame seeds,2134
hot sauce,2124
chicken,2115
cream,2100
cooking spray,2091
beef broth,2090
shallot,2066
almond extract,2046
ground coriander,2041
mushroom,2020
italian seasoning,1990
black olives,1981
maple syrup,1962
shrimp,1903
bread,1903
avocado,1894
turmeric,1858
cayenne,1855
cabbage,1844
plain yogurt,1818
green chilies,1810
fresh rosemary,1807
cocoa,1791
chives,1757
molasses,1740
lettuce,1733
almonds,1709
ham,1642
capers,1623
orange zest,1611
apple,1604
rice,1589
allspice,1588
active dry yeast,1582
frozen peas,1577
red wine,1548
barbecue sauce,1547
corn,1533
green beans,1528
rolled oats,1526
scallion,1525
potato,1515
broccoli,1508
coconut,1506
fresh dill,1502
rosemary,1433
vegetable broth,1390
beer,1373
cool whip,1345
dried cranberries,1324
spinach,1316
mustard,1306
strawberries,1299
chickpeas,1295
vodka,1291
of fresh mint,1267
fish sauce,1267
blueberries,1264
vegetable stock,1256
yeast,1249
lime,1221
dry sherry,1177
clove,1150
jalapeno,1126
spaghetti,1086
coriander,1064
pasta,1061
cauliflower,1058
pork tenderloin,1044
strawberry,1041
asparagus,1040
kidney beans,1025
pork chops,1024
salmon fillets,1024
elbow macaroni,1007
orange,999
beef stock,989
ground turkey,971
brandy,955
leeks,945
pumpkin,944
chili sauce,943
peaches,928
oatmeal,921
yellow cake mix,898
ground pork,895
semisweet chocolate,877
sherry wine,862
taco seasoning,861
hoisin sauce,859
tortilla chips,851
rum,844
ground cardamom,839
oats,818
dates,813
garam masala,790
leek,783
dill weed,764
sage,753
poultry seasoning,745
prepared horseradish,728
sunflower seeds,719
golden raisin,715
liquid smoke,709
pinto beans,702
mango,700
cajun seasoning,699
dill,699
crabmeat,698
yogurt,693
artichoke hearts,688
bittersweet chocolate,682
prosciutto,675
couscous,664
pecan halves,664
sauerkraut,663
tequila,661
splenda granular,656
tuna,654
linguine,649
catsup,649
fresh mint leaves,642
dried apricot,636
pesto sauce,632
kalamata olive,631
seasoning,630
green olives,628
caraway seed,628
peas,624
chocolate syrup,619
oyster sauce,616
garbanzo beans,615
yellow squash,606
beef,606
cranberries,587
cashews,587
raspberries,585
fennel seed,584
bean sprouts,574
kahlua,565
horseradish,563
marjoram,560
wheat germ,556
pears,551
dark chocolate,551
whipped topping,545
pizza sauce,543
sun-dried tomato,543
unsweetened chocolate,537
mint,535
tahini,530
lasagna noodles,529
white chocolate,525
italian dressing,520
marshmallows,515
unflavored gelatin,514
macaroni,510
bourbon,509
red food coloring,502
firm tofu,499
ground chuck,498
ranch dressing,495
dried tarragon,488
teriyaki sauce,478
maraschino cherry,478
miracle whip,477
coffee,476
lentil,475
fresh tarragon,471
marinara sauce,471
cherry pie filling,464
frozen mixed vegetables,459
poppy seed,459
chocolate,453
quinoa,450
bisquick,444
tarragon,439
rhubarb,436
refrigerated crescent dinner rolls,422
vegetables,419
chili,415
noodles,414
creme fraiche,413
triple sec,412
salmon,412
grenadine,407
club soda,404
apricot preserves,402
maraschino cherries,399
saffron,399
cardamom,398
amaretto,388
grand marnier,385
pistachios,381
cooked turkey,381
pie crusts,377
gorgonzola,370
kielbasa,365
tilapia fillets,365
olive,364
mirin,364
pizza dough,363
arugula,361
chipotle chile in adobo,360
beets,359
kale,359
pancetta,358
tortillas,357
ghee,355
white cake mix,351
chipotle chiles in adobo,348
pork,348
sweet pickle relish,347
currants,346
baguette,343
feta,342
fettuccine,341
pearl barley,341
parsnips,339
oreo cookies,333
italian salad dressing,330
enchilada sauce,330
alfredo sauce,330
puff pastry,329
prawns,328
turkey,327
lard,327
oat bran,322
penne,321
pie crust,317
flank steaks,315
dried cherries,312
wonton wrappers,309
cherries,308
red chile,306
ground lamb,305
guacamole,304
green food coloring,302
berries,300
radishes,295
whole berry cranberry sauce,293
cantaloupe,291
sea scallops,286
soya sauce,284
apricot jam,284
mixed salad greens,284
red capsicum,280
tamari,280
ground flax seeds,279
fish fillets,279
coleslaw mix,277
bok choy,277
xanthan gum,276
artificial sweetener,275
chuck roast,272
cognac,268
picante sauce,267
food coloring,267
bicarbonate of soda,266
anchovy fillets,265
fresh raspberry,265
summer squash,265
ritz crackers,264
pear,262
barley,262
phyllo dough,260
fruit,256
herbes de provence,252
sake,252
tofu,252
baked beans,252
peach,249
crisco,249
raspberry jam,249
agave nectar,248
devil's food cake mix,247
star anise,247
